regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
5;5;10;500000;0.05;0.4;0.15;6;[True, True, True, True, True, True];['I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'II.11.28', 'II.11.28'];['sqrt((x_0 - x_1)**2 + 1)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)', '(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[9.860761315262648e-33, 1.0665399438588079e-29, 0.0, 4.322957760611145e-30, 1.232595164407831e-32, 1.4791141972893968e-32];[99.984, 99.993, 99.9928, 99.9882, 99.9962, 99.9962];[100.0, 90.0, 100.0, 100.0, 100.0, 100.0];[80.0, 50.0, 50.0, 100.0, 80.0, 60.0];[390860, 133673, 3691, 421348, 7501, 56899];['seed_13', 'seed_21', 'seed_22', 'seed_34', 'seed_37', 'seed_35'];5_5_10_500000_0.05_0.4_0.15
5;5;10;500000;0.05;0.4;0.3;6;[True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', '1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 8.172598978089683e-30, 0.0, 1.1517369216226773e-29];[99.9894, 99.9908, 99.988, 99.9852, 99.9872, 99.988];[100.0, 100.0, 100.0, 100.0, 90.0, 100.0];[90.0, 60.0, 20.0, 80.0, 80.0, 30.0];[65626, 291723, 419581, 28287, 470743, 83874];['seed_46', 'seed_13', 'seed_59', 'seed_18', 'seed_25', 'seed_49'];5_5_10_500000_0.05_0.4_0.3
5;5;10;500000;0.07;0.2;0.3;6;[True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt(1.0*(x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + 1.0*x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 4.67005655890839e-30, 6.847312657318382e-30, 5.1433731020409966e-30, 1.2369338993865465e-29];[99.9886, 99.9844, 99.9902, 99.9916, 99.9904, 99.9912];[100.0, 100.0, 90.0, 100.0, 100.0, 100.0];[80.0, 90.0, 90.0, 100.0, 40.0, 90.0];[61978, 489330, 25917, 26964, 25801, 211827];['seed_40', 'seed_43', 'seed_12', 'seed_57', 'seed_14', 'seed_33'];5_5_10_500000_0.07_0.2_0.3
5;5;10;500000;0.09;0.5;0.4;6;[True, True, True, True, True, True];['I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '1.0*x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[8.267262286716204e-30, 3.5025424191812934e-30, 1.07600627472146e-29, 8.929905447101855e-30, 5.1433731020409966e-30, 5.1433731020409966e-30];[99.996, 99.986, 99.9888, 99.9884, 99.995, 99.9886];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[100.0, 100.0, 70.0, 100.0, 50.0, 40.0];[62282, 458746, 443623, 469463, 12359, 390574];['seed_42', 'seed_22', 'seed_33', 'seed_17', 'seed_13', 'seed_19'];5_5_10_500000_0.09_0.5_0.4
5;5;10;500000;0.09;0.7;0.1;8;[True, True, True, True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((-x_0 + x_1)**2.0 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_5*(x_2 - 2.33486982377251e-16) + 2.33486982377251e-16', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + 1.0*x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 4.6069476864907095e-30, 0.0, 7.730836871165916e-30, 4.165185579566943e-30, 5.1433731020409966e-30];[99.987, 99.9866, 99.9878, 99.9936, 99.989, 99.9896, 99.9908, 99.9924];[100.0, 100.0, 80.0, 100.0, 100.0, 100.0, 100.0, 100.0];[70.0, 90.0, 90.0, 90.0, 100.0, 100.0, 90.0, 80.0];[411962, 290711, 255125, 33592, 303876, 297141, 290547, 142058];['seed_47', 'seed_56', 'seed_36', 'seed_45', 'seed_29', 'seed_26', 'seed_30', 'seed_59'];5_5_10_500000_0.09_0.7_0.1
5;5;25;200000;0.05;0.1;0.15;5;[True, True, True, True, True];['I.8.14', 'I.8.14', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt((-x_0 + x_1)**2.0 + (x_2 - x_3)**2.0)', 'sqrt((x_0 - x_1)**2 + 1.0*(x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + 2.33486982377251e-16*x_0/x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 5.017155357205635e-30, 9.434776426443305e-30];[99.9725, 99.9855, 99.9785, 99.9765, 99.9795];[96.0, 100.0, 100.0, 100.0, 100.0];[52.0, 56.0, 84.0, 48.0, 56.0];[184181, 61721, 21034, 187954, 28891];['seed_53', 'seed_31', 'seed_42', 'seed_45', 'seed_60'];5_5_25_200000_0.05_0.1_0.15
5;5;25;200000;0.05;0.4;0.0;5;[True, True, True, True, True];['I.8.14', 'I.8.14', 'I.8.14', 'I.11.19', 'I.11.19'];['sqrt((x_2 - x_3)**2 + 1.0*sqrt((x_0 - x_1)**4.0))', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*(x_3 + 2.33486982377251e-16) + x_1*x_4 - 2.33486982377251e-16*x_2 + x_5*(x_2 - 2.33486982377251e-16) + 5.451617093963471e-32', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 0.0, 0.0, 4.070522270940421e-30, 0.0];[99.966, 99.981, 99.979, 99.9675, 99.966];[100.0, 92.0, 100.0, 100.0, 100.0];[76.0, 32.0, 48.0, 88.0, 40.0];[122386, 95292, 163558, 43854, 71034];['seed_14', 'seed_13', 'seed_48', 'seed_60', 'seed_56'];5_5_25_200000_0.05_0.4_0.0
5;5;25;200000;0.07;0.1;0.15;2;[True, True];['I.8.14', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 4.9224920485791145e-30];[99.9745, 99.981];[100.0, 100.0];[44.0, 80.0];[70087, 138409];['seed_23', 'seed_22'];5_5_25_200000_0.07_0.1_0.15
5;5;25;200000;0.07;0.2;0.15;6;[True, True, True, True, True, True];['I.8.14', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19'];['sqrt((x_0 - x_1)**2 + (x_2 - x_3)**2)', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '1.0*x_0*x_3 + 1.0*x_1*x_4 + 1.0*x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0**1.0*x_3 + x_1*x_4 + x_2*x_5'];[0.0, 5.36425415550288e-30, 5.1433731020409966e-30, 2.5874637691249186e-30, 6.437104986603456e-30, 0.0];[99.9785, 99.9825, 99.9855, 99.953, 99.9845, 99.973];[100.0, 96.0, 100.0, 100.0, 100.0, 96.0];[72.0, 68.0, 72.0, 64.0, 48.0, 96.0];[14982, 31453, 105846, 180786, 21634, 67399];['seed_21', 'seed_12', 'seed_22', 'seed_23', 'seed_56', 'seed_48'];5_5_25_200000_0.07_0.2_0.15
5;5;25;200000;0.07;0.4;0.0;8;[True, True, True, True, True, True, True, True];['I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'I.11.19', 'II.11.28'];['x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_1*x_4 + x_2*x_5 + x_3*(x_0 - 2.33486982377251e-16)', 'x_0*x_3**1.0 + x_1*x_4 + x_2*x_5**1.0', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', 'x_0*x_3 + x_1*x_4 + x_2*x_5', '(-0.666666666666667*x_0*x_1 - 1)/(0.333333333333333*x_0*x_1 - 1)'];[5.585135208964764e-30, 6.6264316038565e-30, 5.1433731020409966e-30, 1.0791617183423441e-29, 1.1201824854138368e-29, 5.2064819744586776e-30, 5.017155357205635e-30, 1.3805065841367708e-32];[99.9675, 99.97, 99.9845, 99.9745, 99.98, 99.9725, 99.9775, 99.989];[100.0, 96.0, 100.0, 100.0, 100.0, 92.0, 96.0, 96.0];[64.0, 84.0, 92.0, 64.0, 88.0, 48.0, 56.0, 84.0];[121554, 31910, 8942, 111008, 119328, 95478, 5737, 11282];['seed_55', 'seed_34', 'seed_33', 'seed_28', 'seed_54', 'seed_52', 'seed_48', 'seed_40'];5_5_25_200000_0.07_0.4_0.0
